customer_id,customer_name,age,sex,height,weight,membership_type
6548,Lavon Miller,61,0,5.2,170,
2642,Nancy Goodrum,25,0,5.5,,
32,Leslie Nichols,44,0,5.2,169,
4003,Frances Bambeck,30,0,,,
2445,Dorris Beard,34,0,4.2,,adults
6180,Mary Rivera,56,0,,,
5850,Shane Patterson,20,1,6,,adults
3685,Robert Crum,25,1,,196,adults
7058,Kim Gross,25,0,5.7,,
6478,Perry Hoerner,19,1,,,adults
6364,Francis Ogburn,59,1,7.4,195,adults
4295,Lillian Rhodarmer,38,0,5.5,175,adults
3005,Shari Johnson,18,0,,,
2711,John Ferdinand,18,1,5.7,,adults
6197,Carl Clark,48,1,,,adults
6360,Margret Nichols,50,0,,172,
3811,Gregory Tomer,48,1,,,adults
5799,Katherine Mcgrath,49,0,,,
3287,Veronica Garcia,27,0,5.4,,adults
4884,Roberto Hoover,48,1,,197,adults
8230,Daniel Haas,32,1,6.4,,adults
8394,Jeffrey Kelley,35,1,,,adults
4305,Johnnie Risner,26,0,,,
6378,Mary Pine,44,0,,,
769,James Milligan,24,1,7.1,201,adults
8387,Anne Molden,19,0,5.2,,
4363,Bobby Jones,16,1,5,146,youth
6659,Ashley Landry,25,0,,167,
9819,Cecile Wile,48,0,,,
4340,Cathy Yancey,49,0,,166,
605,James Gresham,20,1,5.3,,adults
3929,Sandra Morris,35,0,,,
8894,Christopher Cline,26,1,6.5,,adults
9056,Robert Villicana,40,1,,,adults
7463,Michael Snyder,51,1,,198,adults
673,Michelle Williams,29,0,4.6,,adults
8354,Hector Hendley,12,1,,80,kids
2166,Linda Lomack,42,0,,170,
6975,Carol Wilder,40,1,6,,adults
4689,Sharon Iberg,44,0,,,
4296,Jason Vazquez,35,1,,,adults
5952,Jonathon Benton,30,1,5,,adults
2242,Kelly Barbrick,23,1,,193,adults
1212,Ericka Limbrick,46,0,,,adults
4921,Carol Mcmillan,34,0,5,,
94,Loretta Lamey,25,0,,,
5678,Ralph Blackman,27,1,5,,adults
4100,Theresa Flood,34,0,4.6,,adults
4583,Phyllis Hernandez,35,0,,,
6404,George Perez,39,1,6.2,198,adults
9004,Mary Schuette,28,0,6,,adults
6370,Julia Keith,52,0,,,
9606,Marco Dungan,52,1,,204,adults
6528,Manuel Luken,36,1,,,adults
311,John Marshall,42,1,5.9,187,adults
3931,Steve Ramirez,23,1,,,adults
3815,John Perotti,14,1,4.7,143,youth
8251,Larry Moisan,26,1,6.7,,adults
382,Raymond Kinard,42,1,,182,adults
5,Alice Houston,42,0,,,
2358,Reed Hamlin,28,1,,197,adults
999,Frank Holmes,17,1,,129,youth
9571,Frank Lynch,28,1,6.6,,adults
1889,Mike Bacurin,37,1,,,adults
5648,Vincent Prewitt,7,1,4.8,73,kids
9980,Maurice Diaz,60,1,,197,adults
9489,William Schauble,44,1,,,adults
8558,Mary Owens,38,0,,,
7119,Kelvin Curry,51,1,6.1,,adults
4356,Paul Townsand,33,1,6.3,,adults
4495,Florence Hare,53,0,4.8,,
9422,Alex Ohmen,27,1,,,adults
9349,Kiera Chilton,52,0,5.9,,
8644,Mildred Johnson,20,0,5.4,,
5871,Jerome Sawyer,27,1,,,adults
8783,Leola Farver,16,0,5.1,145,youth
6686,Linda Senno,26,0,5.5,,
2738,Edward Howard,17,1,4.5,146,youth
8153,Cedric Burkett,29,1,,,adults
6376,Victoria Alvarez,52,0,5.2,176,
3313,William Wickliff,9,1,4.6,70,kids
6248,Elaine Williams,27,0,,169,
2896,Stanley Lally,26,1,,,adults
2382,Della Printup,68,0,,,
7821,Amy Trujillo,19,0,4.6,161,
3320,Nicholas Nelson,44,1,6,,adults
2052,Bobby Rodriguez,47,1,,,adults
5895,Ronnie Jewell,7,1,4.6,76,kids
4106,Kevin Davis,53,1,,196,adults
801,Molly Dempsey,13,0,,137,youth
1001,Danny Cooper,61,1,,,adults
1038,Clare Rowe,39,0,,168,
3869,Floyd Marquez,41,1,,,adults
6757,Rebecca Martinez,36,0,4.8,,
4826,Richard Severtson,55,1,,,adults
6382,Adrianna Farrell,25,0,,,adults
8381,John Cesena,27,1,,203,adults
4180,Andrew Foreman,27,1,,,adults
3891,Brad Shavers,66,1,5.8,202,adults
2796,Edward Stapleton,27,1,,,adults
7987,Bryan Vines,50,1,,201,adults
9029,Dennis Hutchens,31,1,6.4,205,adults
8602,Diana Hogan,14,0,,140,youth
6211,Cliff Chapa,39,1,,,adults
5084,Andrew Davidson,38,1,,205,adults
8800,Brian Godfrey,33,1,,,adults
8370,Janet Harrell,25,0,5.4,,
2765,Carl Williams,31,1,6.5,207,adults
3215,Ruth Smith,30,0,,,
5478,Eleanor Smith,27,0,,173,
8115,Kelly Fagundes,28,0,4.9,,
8891,Alvin Mcelrath,21,1,,,adults
8502,Thomas Sindelar,34,1,,,adults
3934,Reba Quisenberry,49,0,6.2,,
5425,Kevin Burgos,34,1,,191,adults
5783,Ashley Hu,64,0,5.6,169,adults
5438,Beth Howard,17,0,,137,youth
6962,Hazel Best,34,0,,172,
594,Glenda England,9,0,4.5,62,kids
5511,Mary Lawhorn,54,0,,163,
4575,Teresa Willis,7,0,4.6,76,kids
8954,Danny Rokusek,35,1,,188,adults
3404,Joy Rievley,30,0,,,
6371,Donald Henderson,38,1,,,adults
2727,Brunilda Porto,40,0,,158,
1819,Diana Tuohy,51,0,4.6,172,
1953,Lora Bond,24,0,5.4,,
258,Sarah Smith,22,0,4.1,163,
4157,Reina Davis,8,0,4.4,75,kids
7155,Justin Gregory,65,1,6,,adults
163,Raymond Campbell,38,1,,,adults
5933,Dana Saylor,47,1,,,adults
3746,Eric Lemelin,49,1,,205,adults
1620,Craig Halloran,37,1,,,adults
9984,Daniel Krebbs,54,1,4.6,193,adults
6186,Joseph Jones,12,1,,72,kids
3949,Almeda Kim,65,0,,,
4160,Edwin Turner,46,1,,192,adults
7391,Carlos Mody,50,1,,202,adults
2693,Humberto Render,11,1,4.9,79,kids
6224,Francis Cagney,51,1,,,adults
5365,Jason Lavadera,7,1,4.3,73,kids
3839,Lee Carney,51,1,5.7,191,adults
9899,John Partis,47,1,5.9,188,adults
2690,Judy Pontes,55,0,4.9,,
2581,Angel Rossi,36,1,,196,adults
1481,Sina Tolston,47,0,4.9,,
7839,Mellissa Boswell,31,0,,166,
1986,Matthew Rynn,39,1,,,adults
9412,Ivan King,42,1,,202,adults
5340,Tiffany Doig,35,0,4.7,,
6304,Alexander Tucker,52,1,,,adults
1591,Ralph Palmer,52,1,5.5,188,adults
52,Donald Vega,40,1,,193,adults
9775,John Mondragon,47,1,6.2,,adults
6465,Brian Clark,49,1,6.8,201,adults
194,Adrian Hayes,31,1,7.2,,adults
1636,Charles Ott,53,1,6.3,,adults
3205,Theresa Hausler,36,0,4.8,,
137,Richard Graham,36,1,,202,adults
7234,Kevin Grinage,55,1,,,adults
8840,Mary Graves,51,0,5.6,,
3591,Richard Conner,34,1,6.5,,adults
2161,Ronald Fiore,41,1,,196,adults
4912,Betty Watson,38,0,4.9,163,
3167,Douglas Hurrington,47,1,,,adults
1645,Aaron Edwards,43,1,5.2,,adults
79,Thomas Dawson,47,1,,200,adults
4076,Tammy Pemberton,43,0,,,
7183,Robert Reinschmidt,52,1,6.7,,adults
8436,Manuel Hamlin,50,1,,196,adults
7902,Randy Mak,38,1,6.1,197,adults
1658,Anne Hamby,38,0,,161,
2270,William Partin,19,1,5.4,,adults
9499,Carlos Bulger,64,1,,,adults
288,Gerald Clayton,38,1,6.1,202,adults
934,Jerome Atwood,36,1,,,adults
4272,Christine Shields,55,0,,,
2699,Stephen Garcia,21,1,,,adults
743,Fernando Jacques,25,1,,202,adults
6090,Jimmy Grimm,39,1,,,adults
5617,Daniel Richardson,56,1,6.4,,adults
4010,Gary Vigor,39,1,,,adults
5894,Charles Welty,36,1,,194,adults
9630,William Crist,35,1,5.7,192,adults
2310,Keith Shipman,54,1,,200,adults
7085,Eric Boggan,30,1,,,adults
3143,Kristina Potter,19,0,,171,
342,Joseph Stathopoulos,29,1,,193,adults
9204,Adriana Burger,40,0,,,
2018,Cherilyn Hooper,43,0,4.1,167,
1865,Dan Adkins,21,1,7.4,192,adults
6276,Devin Boyd,34,1,,206,adults
1802,Brendon Weaver,47,1,,198,adults
1459,Fannie Smith,42,0,4.5,,adults
7238,Dewey Lairmore,44,1,6.7,207,adults
302,Louis Perrone,14,1,5.3,139,youth
5422,Clifton Henley,46,1,,,adults
7830,William Glick,37,1,6,,adults
8759,Sarah Wyant,20,0,5.6,,adults
1745,John Montes,53,1,,207,adults
7558,Eddie Brock,18,1,,206,adults
31,Jonathan Simon,25,1,,,adults
526,Alexis Boucher,18,1,,205,adults
5196,Michael Johnson,30,1,5.7,182,adults
7732,Charles Rogers,55,1,,,adults
6986,Ted Martin,23,1,,,adults
2784,Ryan Johnson,37,1,,,adults
6573,Francis Fuller,32,1,,,adults
7523,Henry Scaggs,36,1,5.5,198,adults
1329,Lou Thomas,27,0,,156,
6288,Janice Batty,53,0,,,
6511,Ruth Sisler,29,0,,169,
5745,William Ruark,48,1,,196,adults
3416,Tina Wu,49,0,,167,
625,Alan Brandwein,68,1,6.5,195,adults
1614,Joshua Vanzandt,33,1,5,203,adults
3663,Mary Young,50,0,5.1,164,
4621,Connie Speer,60,0,4.4,,
1323,Lane Bassford,30,1,6.8,,adults
8597,Jane Shrum,27,0,4.9,162,
1946,Julian Reed,49,1,5.2,,adults
8456,Gregory Schumacher,44,1,6.6,,adults
230,John Williams,36,1,,192,adults
5999,Jill Gray,8,0,4.1,75,kids
7766,John Webster,42,1,,,adults
5957,Richard Youmans,57,1,,,adults
8958,Michael Speer,38,1,,,adults
4974,Darryl Sharp,32,1,,,adults
9549,Donna Griffin,8,0,4.9,76,kids
8377,Kathleen Brackett,53,0,5.1,,
9969,Kimberly Schupp,22,0,,,
1292,Annie Rocco,10,0,4.5,74,kids
7101,Chadwick Lopez,27,1,,,adults
5636,Ian Joseph,35,1,6.2,,adults
4471,Frankie Kent,32,1,,192,adults
7207,Casey Snyder,57,1,,,adults
2461,Matthew Rhodes,34,1,5.7,190,adults
1773,Tim Cassiano,23,1,5.7,,adults
7837,Christopher Barner,23,1,,197,adults
5715,Margarito Morris,41,1,,,adults
7141,William Alonso,36,1,,,adults
4030,Joseph Steadman,41,1,,,adults
7877,Joseph Martin,22,1,,,adults
5989,Scott Sticker,62,1,5.2,193,adults
8347,Loretta Riddick,54,0,,,
5088,Frank Pruitt,46,1,6.2,195,adults
462,Cristy Rimer,65,0,,,
2447,Timothy Holstine,25,1,,203,adults
9530,Thomas Salvador,41,1,5.8,,adults
6428,Ted Mcgwin,37,1,,,adults
1184,Pearl Mccullough,26,0,,171,adults
9127,Scott Savage,47,1,,198,adults
5009,Richard Gore,48,1,,,adults
9148,Heath Armenta,67,1,,,adults
5787,Kim Biddle,52,0,,,
2621,David Thornton,35,1,,189,adults
5108,Donna Trotter,22,0,,166,
4119,James Thompson,55,1,,,adults
8923,Manuel Behrens,41,1,7.1,206,adults
5253,Marvin Campbell,55,1,,,adults
641,Christopher Tyler,33,1,6,,adults
8480,Lisa Woods,41,0,5.5,,
2123,Tiara Greene,63,0,5.4,164,
1785,Gary Litecky,41,1,5.3,,adults
5516,Elaine Gamba,28,0,4.5,,
8403,Teresita Aldridge,43,0,,,
5198,Curtis Ranney,18,1,,,adults
8286,Richard Ruth,44,1,6.1,,adults
1679,Stephen Shea,28,1,,196,adults
5517,Philip Martz,30,1,5.8,207,adults
1678,Marian Sivak,42,0,5.6,,adults
9258,Donald Pullis,35,1,,,adults
1882,Diana Townsend,56,0,,159,
3893,Lydia Lanier,31,0,,,
2077,Joshua Clark,22,1,,,adults
1133,Daniel Washington,43,1,,,adults
9881,Joseph Anderson,45,1,,,adults
4710,Curtis Boelter,40,1,,185,adults
853,Jean Powell,15,0,4.8,137,youth
5780,James Day,18,1,,206,adults
3724,Cynthia Tejada,58,0,,,
1086,Joan Noreen,49,0,,,
8104,Pablo Dwyer,32,1,,199,adults
4867,Dale Riley,51,1,6.4,,adults
6001,Marissa Green,23,0,4.3,,adults
962,Jason Laurent,52,1,,,adults
5148,Patrick Brayton,28,1,,202,adults
8647,Heather Chaney,48,0,4.8,171,adults
75,Amanda Shortell,19,0,4.3,,adults
5940,Jessica Turner,32,0,5.3,,
9364,James Moralis,54,1,5.3,192,adults
8758,Karen Rose,20,0,4.8,,
706,Leo Brown,18,1,,197,adults
956,Maria Mashaw,37,0,,156,
3894,Steven Hunnings,53,1,,195,adults
8740,Abigail Greenwood,32,0,6,,
1014,Forest Adams,59,1,6.5,194,adults
8440,Walter Kennelly,38,1,,,adults
2594,Steven Anderson,42,1,6.2,,adults
7754,Scot Wimberly,37,1,,,adults
6343,Frank Wasden,45,1,,203,adults
1955,George Matthews,11,1,,76,kids
7852,Alex Danielson,25,1,6.1,202,adults
6426,Randy Waldrop,12,1,4.7,69,kids
6352,Cory Brumley,9,1,4.4,78,kids
1393,Samuel Penney,55,1,,196,adults
54,Anthony Bassett,38,1,,,adults
5697,Kevin Thomas,59,1,,,adults
102,Christy Stribling,34,0,4.8,,
7034,James Francis,67,1,,188,adults
4695,Jetta Sanchez,24,0,,,
172,Susan Stanley,32,0,4.5,,
9036,Anne Harvey,40,0,5.2,,
1243,Trenton German,35,1,5.5,202,adults
2127,Robin Mcnelis,23,0,,,adults
7705,Joseph Marcum,37,1,5.5,198,adults
6089,Vincent Brock,65,1,,,adults
4397,Joshua White,46,1,,,adults
1210,Renee Lapp,56,0,,159,
8425,Billy Almeida,49,1,,,adults
6531,Rita Parker,45,0,5.3,,
3879,Theresa Newman,41,0,5.8,171,
8528,Julian Goble,38,1,,204,adults
3986,Edward Raabe,53,1,6.5,202,adults
694,Elizabeth Acton,25,0,5.1,,
2926,Cathy Stringer,27,0,5.3,,adults
9864,Rachel Dewitt,31,0,6.3,,adults
3649,Michael Sykes,22,1,,201,adults
1253,Herman Clemmons,41,1,,,adults
2801,James Arnold,9,1,4.7,70,kids
6107,Vickie Fitzgerald,49,0,,,
1751,Charles Williams,45,1,,,adults
4779,Douglas Mcneil,39,1,,,adults
9352,Pamela Phillips,44,0,4.1,,adults
7641,Maria Russell,26,0,4.7,178,
7606,Robert Jensen,43,1,,,adults
8735,Martin Mejia,48,1,,202,adults
8845,Bernard Mathias,21,1,,194,adults
2251,Dyan Christy,34,0,,174,
207,Jean Longoria,40,0,5.5,,
4242,Willis Woodall,51,1,5.6,192,adults
9045,Alan Thompson,30,1,,,adults
8620,Joe Christy,36,1,5.4,,adults
4944,Gina Peru,31,0,5.4,172,adults
8483,Robert Converse,47,1,,,adults
4068,Valery Hamilton,24,0,,171,adults
2299,Kim Freyer,28,1,6.4,,adults
5982,Joseph Huizar,28,1,,197,adults
8112,Jason Valencia,45,1,,195,adults
6013,Gerard Atkinson,55,1,,,adults
935,Misty Rogers,18,0,,,adults
6057,Lara Gelsinger,47,0,,,
3843,Michele Holt,44,0,,,
9841,Michelle Otto,39,0,4.3,,
4375,William Phillips,17,1,,139,youth
5308,Joseph Habeck,14,1,,142,youth
387,Debra Johnson,51,0,,,adults
7995,Deborah Horn,20,0,,,
9790,Millard Repine,30,1,,203,adults
3791,Tasha Peck,18,0,,,
4469,Cherly Xia,54,0,5.4,,
6803,Brandon Shafer,45,1,,199,adults
1726,Alexander Gann,47,1,,,adults
8794,Becky Campbell,51,0,,168,adults
9102,Edith Mark,42,0,4.7,173,adults
3771,John Walker,57,1,,186,adults
1064,Carl Arthur,6,1,,74,kids
7882,Rodney Mccomb,31,1,,,adults
4508,Claude Eagen,64,1,,202,adults
2984,Jess Burgess,28,1,6.4,,adults
3540,David Thompson,6,1,,75,kids
6814,Paul Garza,44,1,,,adults
1186,Glenn Thompson,30,1,,201,adults
8763,Cody Massa,51,1,6.1,,adults
815,William Langan,25,1,6.9,,adults
7801,Laura Milan,48,0,6.2,,adults
9808,John Medley,41,1,,197,adults
515,Willie Gonzalez,45,1,5.4,200,adults
5978,Gene Mangiafico,44,0,,,adults
9575,Myrtle Brown,44,0,,157,
5767,Kyle Thomson,51,1,,198,adults
3755,Timothy Baker,19,1,5.9,,adults
4365,Samuel Ibarra,56,1,,,adults
6455,Jack Anderson,40,1,5.3,,adults
5032,Dianne Burnham,14,0,,146,youth
6358,Scott Charron,51,1,,,adults
1930,Denise Winkleman,32,0,,,
5059,Kathy Lindelof,20,0,4.7,166,
7583,Julio Ash,31,1,5.3,187,adults
5983,Numbers Morefield,23,1,5.8,194,adults
9345,Steven Dacey,25,1,4.4,201,adults
8488,Ryan Thompson,48,1,,201,adults
1500,Florence Grant,29,0,,173,
4741,William Godbolt,50,1,,196,adults
6344,Clyde Lizardi,26,1,,198,adults
4524,Theodore Williams,25,1,,209,adults
550,David Thomas,15,1,,132,youth
1020,Margaret Daws,64,0,,,adults
7967,Judy Bastien,35,0,4.9,,
7197,Jennifer Blevins,55,0,5.3,,adults
3695,Grover Harrison,46,1,4.7,202,adults
2174,David Reese,57,1,,192,adults
2357,Barbara Rasset,45,0,,171,
2999,Harriett Stanley,29,0,,174,
2068,Robert Meadows,39,1,,203,adults
4014,Brian Hinojosa,50,1,,,adults
936,Carroll Winter,52,1,,188,adults
9096,Raul Rogers,19,1,,199,adults
5224,Leslie Musielak,26,1,,194,adults
1998,Dennis Lefkowitz,33,1,,199,adults
6171,Jone Combs,43,0,5.2,,
1663,Michael Castillo,27,1,5,,adults
6479,Mark Bogue,46,1,4.8,203,adults
738,Jesus Fosnaugh,41,1,6,,adults
3528,Scott Piatkowski,37,1,,,adults
6768,Donald Clayborn,47,1,7.1,,adults
816,Juan Shanks,31,1,5.6,193,adults
7951,Thomas Hensley,50,1,,,adults
2311,Justin Swafford,49,1,,,adults
6696,Lyle Butler,40,1,5.4,,adults
6128,Warren Cox,7,1,4.4,68,kids
9213,Porsche Kemp,36,0,5.2,173,
7708,Mark Jackson,32,1,,191,adults
5842,Steven Mainella,15,1,5,138,youth
3241,Leslie Houston,55,0,,,
5232,Joseph Hobbs,27,1,,,adults
7582,Matthew Bryant,47,1,,185,adults
5731,Heidi Helms,24,0,,,
8383,Curtis Riner,56,1,,,adults
1011,Donald Mcduffie,15,1,4.8,142,youth
7431,Jane Diaz,38,0,,,
9814,Eva Berardino,33,0,5.4,170,
6032,Ann Vanwagoner,49,0,5,159,adults
5533,Jasmine Ly,31,0,5,168,
3090,Todd Coker,50,1,,190,adults
9983,Willie Varela,25,1,5.2,,adults
8074,Jennifer Buckhannon,33,0,,,
2135,Brian Han,25,1,,189,adults
9074,Edward Navarro,27,1,,,adults
2345,Lucille Davila,40,0,,169,
8780,Thomas Cabrera,64,1,,,adults
9596,Kelley Schneider,27,0,4.8,166,
8084,Velma Leon,29,0,5.5,169,
3288,Mary Lynch,30,0,4.8,,
2813,Lonny Greene,46,1,,194,adults
3563,Mary White,65,0,4.7,,
268,Mary Dolby,49,0,4.1,,adults
8616,Joshua Rooks,56,1,,,adults
3327,Carol Ellison,55,0,6.1,173,
3070,Debra Abram,26,0,4.8,,
256,Rudolph Downey,10,1,,80,kids
6369,Carolyn Kline,35,0,4.9,171,adults
3311,Howard Hayes,49,1,5.2,,adults
7572,Jason Chavez,51,1,,,adults
2363,Reva Johnson,28,0,,159,
2330,Charles Taylor,50,1,,190,adults
2817,Frank Owens,33,1,,,adults
9986,William Denny,29,1,,194,adults
5667,Lorenzo Holley,25,1,,,adults
9325,Daniel Kim,36,1,,195,adults
7019,Thomas Marino,6,1,4.8,79,kids
4891,Michael Mcgowan,15,1,5.2,147,youth
7554,Barbara Mueller,46,0,,152,
2787,William Cutting,10,1,4.8,67,kids
5099,Megan Ward,65,0,,,
4432,Dustin Sapp,52,1,6.6,207,adults
229,Joan Sinclair,47,0,,,
603,Robert Flores,15,1,,139,youth
8751,Jerry Guzman,22,1,,,adults
9636,Christopher Querta,20,1,5.5,,adults
6225,Nathaniel Stupak,27,1,,191,adults
2734,Janice Malloy,37,0,5.9,,adults
5790,Charles Mckinney,26,1,,202,adults
7567,Charles Pickett,19,1,,,adults
2681,Joan Gibson,28,0,,157,adults
5761,Julian Harjo,42,1,6.1,,adults
2172,Michael Goodson,65,1,6,,adults
400,Keith Arroyo,43,1,6.4,,adults
5255,Thelma Ellis,66,0,,163,
6722,James White,63,1,,,adults
8790,Isaac Warney,48,1,6.4,203,adults
6860,Mark Maffit,37,1,,187,adults
5994,Ray Winters,26,1,,194,adults
7714,Tommy Campbell,51,1,6.1,193,adults
8536,Sidney Farrer,15,1,4.8,154,youth
1571,Curtis Goatley,22,1,,,adults
351,Walter Green,54,1,,,adults
8532,Lillian Voorhies,50,0,4.8,,
1042,Harold Hall,55,1,,192,adults
287,Alanna Perry,40,0,,181,
7790,Jonathan Gonzalez,14,1,,145,youth
8455,Franklin Mclaughlin,45,1,,197,adults
632,Larry Kennedy,41,1,,196,adults
2776,Sheryl Durham,26,0,5.3,166,
1764,Thomas Whitaker,50,1,,,adults
913,Daniel Wilson,25,1,,,adults
5968,James Zook,47,1,,,adults
1874,Mamie Walker,17,0,6.5,141,youth
1612,Ryan Viola,10,1,5.2,67,kids
2120,Virginia Main,54,0,4.7,156,adults
858,Melinda Acosta,14,0,4.7,143,youth
7719,Christopher Smith,29,1,,,adults
3522,Latanya Sullivan,38,0,,,
1057,Yvonne Parks,54,0,,,
3801,Leontine Neace,49,0,4.5,,
7381,Emery Westerheide,42,1,4.5,,adults
4107,Nancy Liggett,54,0,5.1,,
8977,Valerie Luther,25,0,4.8,155,
747,Roland Postal,25,1,5.9,191,adults
6957,Leon Simpson,34,1,,,adults
2792,Jeff Green,43,1,5.2,,adults
6318,Rufus Angelini,27,1,,,adults
6879,Robert Campbell,24,1,,,adults
8459,Catherine Robbins,61,0,5.1,,
1728,Vicky Lloyd,40,0,,,
2030,Damaris Stiffler,46,0,,168,
8426,Phillip Taylor,20,1,5.5,199,adults
4156,Lee Ely,40,1,5.4,194,adults
1317,Patricia Leigh,53,0,,167,
5073,Carolina Mathis,43,0,6,,
4787,Ronald Pere,11,1,5.4,85,kids
3774,Gregory Williams,13,1,4.6,137,youth
9951,Philip Lynn,36,1,,196,adults
7161,Merle Turrentine,19,1,,,adults
6683,Julio Mooney,27,1,,187,adults
1444,Henrietta Austin,52,0,4.7,176,
5837,Michael Pratt,21,1,,198,adults
3651,William Cassette,37,1,,,adults
843,Helen Bender,12,0,,73,kids
1311,David Casey,10,1,4.9,80,kids
4668,William Massey,14,1,,133,youth
3286,Jimmie Wright,10,1,5,70,kids
468,Mary Shaw,37,0,4.6,,adults
5818,Rosa Rose,47,0,,,
3331,Janet Melton,48,0,4.4,,
9800,Jesus Anderson,52,1,,193,adults
3002,Connie Weaver,28,0,5.6,,
3697,Kathy Lee,35,0,4.8,,
3703,Missy Flores,47,0,,,
8841,Jerry Beattie,61,1,5.5,,adults
5404,James Mathis,44,1,,202,adults
757,Freddie Williams,52,0,5.3,164,
238,Linda Loureiro,53,0,,176,
1583,Rhonda Lincoln,70,0,4.9,158,adults
6874,William Stallworth,38,1,,,adults
9348,Paul Gonzalez,31,1,,,adults
9839,Mary Wilson,41,0,,159,
5795,Jennie Elrod,54,0,,169,
2935,Teresita Robinson,32,0,,,adults
3047,Desmond White,38,1,,197,adults
3564,Chelsea Eveland,48,0,4.9,,
3445,Ryan Hernandez,40,1,5.6,,adults
